Distance	Measurement 1	Measurement 2
1.71,	1042.2	, 970.60
1.71,	1043.6	, 971.60
1.76,	1045.6	, 973.80
1.86,	1049.8	, 978.20
1.98,	1057.2	, 985.80
2.10,	1067.8	, 996.40
2.16,	1080.6	, 1008.40
2.22,	1094.6	, 1021.80
2.24,	1108	, 1034.60
2.24,	1122.4	, 1048.00
2.24,	1136	, 1060.60
2.24,	1149.8	, 1073.80
2.24,	1163.6	, 1082.60
2.25,	1177.8	, 1095.80
2.25,	1192.4	, 1108.80
2.25,	1207	, 1122.20
2.25,	1222	, 1136.20
2.25,	1236.4	, 1150.00
2.25,	1255.2	, 1164.60
2.25,	1269.4	, 1178.40
2.25,	1283.8	, 1192.20
2.25,	1297	, 1205.20
2.25,	1309.2	, 1216.80
2.25,	1320	, 1226.00
2.25,	1327.6	, 1232.20
2.25,	1336.8	, 1235.80
2.25,	1339.4	, 1238.20
2.25,	1341.4	, 1239.80
2.25,	1343	, 1241.60
2.25,	1344	, 1243.20
2.30,	1346	, 1245.40
2.35,	1349.8	, 1249.20
2.43,	1357.2	, 1256.00
2.52,	1365.8	, 1264.60
2.56,	1374.8	, 1272.60
2.58,	1384.8	, 1282.40
2.58,	1394	, 1290.40
2.58,	1404.6	, 1299.80
2.58,	1410.2	, 1308.40
2.59,	1421.4	, 1317.80
2.59,	1431.8	, 1327.20
2.59,	1443.8	, 1336.80
2.59,	1455	, 1347.40
2.64,	1467.6	, 1358.80
2.67,	1480.6	, 1372.00
2.68,	1490.4	, 1385.60
2.68,	1502.8	, 1402.60
2.68,	1516.2	, 1415.60
2.68,	1529.6	, 1427.00
2.68,	1542.8	, 1439.60
2.68,	1556.2	, 1451.20
2.68,	1566.6	, 1461.00
2.68,	1575.2	, 1469.60
2.68,	1588	, 1474.40
2.68,	1593.6	, 1481.00
2.68,	1598	, 1484.40
2.68,	1602.2	, 1489.80
2.74,	1608.2	, 1496.40
2.85,	1617.8	, 1504.40
2.98,	1629.4	, 1515.40
3.07,	1645.4	, 1529.40
3.16,	1663.4	, 1545.80
3.19,	1685	, 1563.20
3.28,	1708.4	, 1584.00
3.38,	1732.2	, 1605.40
3.49,	1759.2	, 1627.40
3.59,	1791	, 1651.40
3.67,	1828	, 1680.80
3.74,	1865.4	, 1711.20
3.83,	1904.8	, 1744.00
3.95,	1948	, 1781.80
4.08,	1998	, 1823.60
4.16,	2051.6	, 1866.00
4.20,	2099.6	, 1914.40
4.20,	2151.2	, 1960.20
4.20,	2203.6	, 2004.60
4.20,	2261	, 2050.00
4.20,	2313	, 2095.60
4.20,	2361	, 2137.40
4.20,	2410.4	, 2175.60
4.20,	2454.6	, 2215.20
4.20,	2493.6	, 2249.60
4.22,	2534	, 2282.00
4.22,	2569	, 2313.80
4.22,	2600.4	, 2340.40
4.22,	2631.2	, 2364.80
4.22,	2657.4	, 2387.40
4.22,	2674.6	, 2405.20
4.22,	2695.4	, 2422.40
4.22,	2713.8	, 2439.40
4.22,	2723.8	, 2449.40
4.22,	2731.6	, 2453.60
4.22,	2734.2	, 2459.00
4.22,	2732.6	, 2459.00
4.22,	2735.2	, 2456.80
4.22,	2739.8	, 2459.40
4.22,	2736.8	, 2462.60
4.22,	2735.4	, 2459.20
4.22,	2739.4	, 2459.00
4.22,	2735.8	, 2461.80
4.22,	2732.6	, 2457.80
4.22,	2734.8	, 2455.80
4.22,	2732	, 2458.20
4.22,	2728.2	, 2454.60
4.22,	2730.8	, 2452.00
4.22,	2729	, 2454.40
4.22,	2725.2	, 2451.40
4.22,	2727.4	, 2449.00
4.22,	2726.8	, 2451.80
4.22,	2723.8	, 2449.80
4.22,	2729.2	, 2449.00
4.22,	2728.6	, 2454.20
4.22,	2727	, 2452.00
4.22,	2732.6	, 2453.60
4.22,	2732.4	, 2457.80
4.22,	2733.8	, 2458.00
4.22,	2735.6	, 2459.60
4.22,	2739.4	, 2469.20
4.22,	2740.2	, 2474.40
4.22,	2741	, 2474.00
4.22,	2747.6	, 2476.00
4.22,	2747.6	, 2482.00
4.22,	2748	, 2480.00
4.23,	2754.8	, 2483.40
4.32,	2756	, 2491.00
4.51,	2769	, 2499.60
4.66,	2790.8	, 2511.60
4.71,	2809.8	, 2527.80
4.71,	2826	, 2540.40
4.72,	2846.2	, 2556.20
4.83,	2864.8	, 2576.20
4.95,	2892.4	, 2594.60
5.05,	2928.8	, 2621.00
5.08,	2959.6	, 2651.00
5.08,	2992.6	, 2678.20
5.08,	3027.2	, 2704.80
5.08,	3062.2	, 2733.20
5.11,	3093.4	, 2755.40
5.18,	3133.8	, 2782.40
5.32,	3174	, 2820.40
5.41,	3221.2	, 2859.20
5.48,	3270	, 2893.80
5.48,	3315.6	, 2938.80
5.48,	3364	, 2978.00
5.48,	3412.6	, 3011.20
5.56,	3448	, 3047.40
5.75,	3486.2	, 3089.80
5.84,	3526.8	, 3133.40
5.84,	3569.2	, 3176.00
5.84,	3610.8	, 3216.80
5.84,	3649	, 3254.60
5.84,	3680.6	, 3289.80
5.84,	3704.2	, 3320.60
5.94,	3734.6	, 3346.00
6.18,	3780.6	, 3377.20
6.32,	3825.8	, 3419.00
6.33,	3870.2	, 3456.00
6.33,	3925.4	, 3492.00
6.45,	3964.4	, 3534.80
6.63,	4019.4	, 3572.00
6.81,	4072.4	, 3609.20
6.93,	4128	, 3652.20
6.94,	4186.2	, 3691.60
6.94,	4236	, 3736.40
7.02,	4287.8	, 3787.60
7.20,	4349.2	, 3834.20
7.37,	4414.6	, 3871.80
7.48,	4478.6	, 3912.20
7.58,	4538.8	, 3963.20
7.66,	4613.2	, 4005.40
7.66,	4675.8	, 4059.00
7.66,	4749.8	, 4102.40
7.66,	4814.2	, 4155.60
7.67,	4882	, 4200.40
7.67,	4930.8	, 4247.80
7.67,	4978.2	, 4300.40
7.67,	5027.6	, 4338.20
7.81,	5073.8	, 4380.00
8.02,	5125.2	, 4425.40
8.05,	5173.2	, 4459.60
8.05,	5213.6	, 4494.00
8.12,	5246.4	, 4533.60
8.43,	5286.4	, 4578.40
8.69,	5336.4	, 4625.40
8.79,	5394.4	, 4667.80
8.89,	5452.8	, 4702.20
8.98,	5497.2	, 4740.00
8.98,	5551.2	, 4781.60
8.98,	5596.4	, 4810.80
8.98,	5634.2	, 4840.40
8.98,	5676.8	, 4862.40
8.98,	5702.4	, 4903.40
8.98,	5745.8	, 4929.60
8.98,	5785.4	, 4956.20
9.00,	5821.6	, 4984.80
9.10,	5856.2	, 5007.80
9.34,	5908.8	, 5037.20
9.39,	5944.6	, 5079.40
9.45,	5996	, 5118.00
9.62,	6031	, 5162.80
9.82,	6073.2	, 5200.60
9.95,	6131	, 5230.00
10.1	, 6179.4	0, 5262.80
10.3	, 6218.0	0, 5295.20
10.46	, 6250.2	0, 5331.00
10.55	, 6275.2	0, 5372.00
10.65	, 6303.8	0, 5412.60
10.86	, 6300.6	0, 5432.80
11.1	, 6203.0	0, 5463.80
11.19	, 6240.6	0, 5503.20
11.19	, 6281.4	0, 5548.40
11.19	, 6336.0	0, 5584.60
11.19	, 6386.8	0, 5617.20
11.19	, 6429.0	0, 5654.40
11.22	, 6473.2	0, 5694.00
11.32	, 6524.8	0, 5730.60
11.32	, 6563.8	0, 5764.20
11.32	, 6607.0	0, 5785.20
11.32	, 6633.4	0, 5809.40
11.32	, 6676.4	0, 5829.00
11.37	, 6707.4	0, 5848.00
11.59	, 6724.6	0, 5880.60
11.77	, 6759.4	0, 5896.40
11.79	, 6786.0	0, 5910.00
11.79	, 6819.2	0, 5925.60
11.79	, 6846.8	0, 5931.60
11.79	, 6872.6	0, 5947.60
11.79	, 6923.4	0, 5961.40
11.82	, 7073.2	0, 5980.20
12.07	, 7093.4	0, 5986.60
12.17	, 7110.8	0, 5998.80
12.17	, 7126.0	0, 5997.40
12.34	, 7139.8	0, 6040.60
12.62	, 7152.8	0, 6065.40
12.75	, 7185.2	0, 6073.80
12.84	, 7209.4	0, 6089.00
12.98	, 7222.6	0, 6119.20
13.08	, 7242.2	0, 6139.00
13.08	, 7273.4	0, 6143.80
13.08	, 7294.6	0, 6165.00
13.16	, 7312.2	0, 6197.60
13.34	, 7333.2	0, 6211.00
13.34	, 7345.6	0, 6221.40
13.34	, 7373.2	0, 6233.00
13.4	, 7389.6	0, 6249.20
13.56	, 7407.4	0, 6278.00
13.68	, 7423.0	0, 6292.80
13.69	, 7436.4	0, 6315.20
13.69	, 7462.4	0, 6320.00
13.89	, 7481.0	0, 6338.00
14.08	, 7509.8	0, 6343.40
14.1	, 7533.8	0, 6364.20
14.1	, 7555.2	0, 6350.40
14.1	, 7581.6	0, 6358.40
14.1	, 7596.2	0, 6374.60
14.1	, 7609.4	0, 6380.00
14.1	, 7626.4	0, 6383.40
14.11	, 7646.8	0, 6398.80
14.11	, 7655.0	0, 6418.00
14.11	, 7666.0	0, 6428.40
14.2	, 7684.8	0, 6455.80
14.48	, 7706.4	0, 6463.80
14.59	, 7722.8	0, 6478.60
14.59	, 7734.0	0, 6484.60
14.65	, 7748.2	0, 6490.40
14.77	, 7766.8	0, 6489.60
14.77	, 7788.0	0, 6487.80
14.8	, 7806.4	0, 6493.00
14.91	, 7821.0	0, 6500.40
15	, 7827.0	0, 6504.00
15	, 7832.0	0, 6508.80
15.06	, 7833.2	0, 6513.80
15.29	, 7834.0	0, 6526.20
15.48	, 7837.4	0, 6539.00
15.51	, 7845.4	0, 6558.80
15.51	, 7859.0	0, 6574.00
15.51	, 7873.4	0, 6579.00
15.53	, 7886.2	0, 6579.40
15.64	, 7897.2	0, 6581.40
15.81	, 7901.2	0, 6592.00
15.82	, 7910.6	0, 6585.80
16	, 7928.2	0, 6622.80
16.19	, 7942.6	0, 6629.00
16.28	, 7953.4	0, 6663.40
16.3	, 7966.2	0, 6681.80
16.31	, 7984.0	0, 6698.20
16.43	, 7999.0	0, 6708.00
16.67	, 8014.0	0, 6719.80
16.69	, 8025.2	0, 6743.40
16.78	, 8049.4	0, 6772.40
17.01	, 8072.0	0, 6787.20
17.21	, 8094.2	0, 6796.20
17.21	, 8117.6	0, 6815.80
17.21	, 8144.2	0, 6826.40
17.21	, 8157.6	0, 6825.20
17.21	, 8162.8	0, 6839.40
17.21	, 8180.8	0, 6857.20
17.34	, 8192.4	0, 6867.00
17.45	, 8208.4	0, 6889.60
17.45	, 8234.8	0, 6895.40
17.51	, 8242.6	0, 6891.00
17.71	, 8275.2	0, 6880.60
17.74	, 8291.4	0, 6896.80
17.74	, 8304.2	0, 6888.80
17.83	, 8321.4	0, 6898.40
18.13	, 8337.4	0, 6909.40
18.36	, 8351.2	0, 6924.80
18.5	, 8372.6	0, 6950.00
18.71	, 8395.2	0, 6952.40
18.94	, 8394.6	0, 6965.00
19.04	, 8400.2	0, 6982.20
19.13	, 8394.2	0, 7004.20
19.2	, 8393.0	0, 7008.00
19.49	, 8380.8	0, 7014.40
19.58	, 8376.2	0, 7036.00
19.58	, 8379.6	0, 7032.80
19.64	, 8373.0	0, 7047.40
19.82	, 8371.4	0, 7059.60
19.82	, 8367.6	0, 7070.40
19.82	, 8364.8	0, 7079.00
19.82	, 8370.2	0, 7128.00
19.82	, 8344.2	0, 7127.00
19.82	, 8334.6	0, 7143.80
19.82	, 8333.2	0, 7149.40
19.82	, 8324.2	0, 7158.60
19.82	, 8309.8	0, 7156.80
19.82	, 8300.6	0, 7174.00
19.82	, 8282.8	0, 7163.80
19.91	, 8277.2	0, 7179.80
20.07	, 8293.2	0, 7171.60
20.07	, 8308.8	0, 7179.20
20.08	, 8331.2	0, 7180.80
20.35	, 8355.0	0, 7180.60
20.4	, 8383.8	0, 7197.00
20.4	, 8409.0	0, 7188.00
20.4	, 8434.8	0, 7199.60
20.4	, 8451.8	0, 7196.00
20.4	, 8477.4	0, 7202.80
20.4	, 8503.0	0, 7205.60
20.4	, 8519.0	0, 7204.20
20.4	, 8544.6	0, 7179.00
20.4	, 8560.4	0, 7189.20
20.4	, 8583.2	0, 7179.00
20.4	, 8606.0	0, 7193.60
20.4	, 8622.8	0, 7185.20
20.4	, 8646.4	0, 7192.80
20.4	, 8666.0	0, 7193.60
20.4	, 8685.8	0, 7195.40
20.4	, 8700.6	0, 7194.60
20.4	, 8700.8	0, 7203.60
20.4	, 8697.4	0, 7220.00
20.4	, 8704.8	0, 7227.40
20.4	, 8698.0	0, 7229.00
20.4	, 8698.0	0, 7216.80
20.4	, 8701.6	0, 7254.00
20.4	, 8693.8	0, 7247.80
20.4	, 8701.4	0, 7247.40
20.4	, 8697.4	0, 7255.20
20.4	, 8695.4	0, 7241.00
20.4	, 8700.8	0, 7252.00
20.4	, 8693.8	0, 7250.80
20.4	, 8697.8	0, 7241.20
20.4	, 8698.6	0, 7252.20
20.4	, 8691.0	0, 7242.60
20.4	, 8696.8	0, 7242.80
20.4	, 8692.8	0, 7249.80
20.4	, 8689.4	0, 7235.20
20.4	, 8697.2	0, 7247.20
20.4	, 8695.2	0, 7249.00
20.4	, 8702.2	0, 7243.40
20.4	, 8709.2	0, 7231.80
20.4	, 8707.2	0, 7229.00
