Distance，,Measurement 1，,Measurement 2，
"5.08,",2959.6,
"5.08,",2992.6,
"5.08,",3027.2,
"5.08,",3062.2,
"5.11,",3093.4,
"5.18,",3133.8,
"5.32,",3174,
"5.41,",3221.2,
"5.48,",3270,
"5.48,",3315.6,
"5.48,",3364,
"5.48,",3412.6,
"5.56,",3448,
"5.75,",3486.2,
"5.84,",3526.8,
"5.84,",3569.2,
"5.84,",3610.8,
"5.84,",3649,
"5.84,",3680.6,
"5.84,",3704.2,
"5.94,",3734.6,
"6.18,",3780.6,
"6.32,",3825.8,
"6.33,",3870.2,
"6.33,",3925.4,
"6.45,",3964.4,
"6.63,",4019.4,
"6.81,",4072.4,
"6.93,",4128,
"6.94,",4186.2,
"6.94,",4236,
"7.02,",4287.8,
"7.20,",4349.2,
"7.37,",4414.6,
"7.48,",4478.6,
"7.58,",4538.8,
"7.66,",4613.2,
"7.66,",4675.8,
"7.66,",4749.8,
"7.66,",4814.2,
"7.67,",4882,
"7.67,",4930.8,
"7.67,",4978.2,
"7.67,",5027.6,
"7.81,",5073.8,
"8.02,",5125.2,
"8.05,",5173.2,
"8.05,",5213.6,
"8.12,",5246.4,
"8.43,",5286.4,
"8.69,",5336.4,
"8.79,",5394.4,
"8.89,",5452.8,
"8.98,",5497.2,
"8.98,",5551.2,
"8.98,",5596.4,
"8.98,",5634.2,
"8.98,",5676.8,
"8.98,",5702.4,
"8.98,",5745.8,
"8.98,",5785.4,
"9.00,",5821.6,
"9.10,",5856.2,
"9.34,",5908.8,
"9.39,",5944.6,
"9.45,",5996,
"9.62,",6031,
"9.82,",6073.2,
"9.95,",6131,
10.1,", 6179.4",
10.3,", 6218.0",
10.46,", 6250.2",
10.55,", 6275.2",
10.65,", 6303.8",
10.86,", 6300.6",
11.1,", 6203.0",
11.19,", 6240.6",
11.19,", 6281.4",
11.19,", 6336.0",
11.19,", 6386.8",
11.19,", 6429.0",
11.22,", 6473.2",
11.32,", 6524.8",
11.32,", 6563.8",
11.32,", 6607.0",
11.32,", 6633.4",
11.32,", 6676.4",
11.37,", 6707.4",
11.59,", 6724.6",
11.77,", 6759.4",
11.79,", 6786.0",
11.79,", 6819.2",
11.79,", 6846.8",
11.79,", 6872.6",
11.79,", 6923.4",
11.82,", 7073.2",
12.07,", 7093.4",
12.17,", 7110.8",
12.17,", 7126.0",
12.34,", 7139.8",
12.62,", 7152.8",
12.75,", 7185.2",
12.84,", 7209.4",
12.98,", 7222.6",
13.08,", 7242.2",
13.08,", 7273.4",
13.08,", 7294.6",
13.16,", 7312.2",
13.34,", 7333.2",
13.34,", 7345.6",
13.34,", 7373.2",
13.4,", 7389.6",
13.56,", 7407.4",
13.68,", 7423.0",
13.69,", 7436.4",
13.69,", 7462.4",
13.89,", 7481.0",
14.08,", 7509.8",
14.1,", 7533.8",
14.1,", 7555.2",
14.1,", 7581.6",
14.1,", 7596.2",
14.1,", 7609.4",
14.1,", 7626.4",
14.11,", 7646.8",
14.11,", 7655.0",
14.11,", 7666.0",
14.2,", 7684.8",
14.48,", 7706.4",
14.59,", 7722.8",
14.59,", 7734.0",
14.65,", 7748.2",
14.77,", 7766.8",
14.77,", 7788.0",
14.8,", 7806.4",
14.91,", 7821.0",
15,", 7827.0",
15,", 7832.0",
15.06,", 7833.2",
15.29,", 7834.0",
15.48,", 7837.4",
15.51,", 7845.4",
15.51,", 7859.0",
15.51,", 7873.4",
15.53,", 7886.2",
15.64,", 7897.2",
15.81,", 7901.2",
15.82,", 7910.6",
16,", 7928.2",
16.19,", 7942.6",
16.28,", 7953.4",
16.3,", 7966.2",
16.31,", 7984.0",
16.43,", 7999.0",
16.67,", 8014.0",
16.69,", 8025.2",
16.78,", 8049.4",
17.01,", 8072.0",
17.21,", 8094.2",
17.21,", 8117.6",
17.21,", 8144.2",
17.21,", 8157.6",
17.21,", 8162.8",
17.21,", 8180.8",
17.34,", 8192.4",
17.45,", 8208.4",
17.45,", 8234.8",
17.51,", 8242.6",
17.71,", 8275.2",
17.74,", 8291.4",
17.74,", 8304.2",
17.83,", 8321.4",
18.13,", 8337.4",
18.36,", 8351.2",
18.5,", 8372.6",
18.71,", 8395.2",
18.94,", 8394.6",
19.04,", 8400.2",
19.13,", 8394.2",
19.2,", 8393.0",
19.49,", 8380.8",
19.58,", 8376.2",
19.58,", 8379.6",
19.64,", 8373.0",
19.82,", 8371.4",
19.82,", 8367.6",
19.82,", 8364.8",
19.82,", 8370.2",
19.82,", 8344.2",
19.82,", 8334.6",
19.82,", 8333.2",
19.82,", 8324.2",
19.82,", 8309.8",
19.82,", 8300.6",
19.82,", 8282.8",
19.91,", 8277.2",
20.07,", 8293.2",
20.07,", 8308.8",
20.08,", 8331.2",
20.35,", 8355.0",
20.4,", 8383.8",
20.4,", 8409.0",
20.4,", 8434.8",
20.4,", 8451.8",
20.4,", 8477.4",
20.4,", 8503.0",
20.4,", 8519.0",
20.4,", 8544.6",
20.4,", 8560.4",
20.4,", 8583.2",
20.4,", 8606.0",
20.4,", 8622.8",
20.4,", 8646.4",
20.4,", 8666.0",
20.4,", 8685.8",
20.4,", 8700.6",
20.4,", 8700.8",
20.4,", 8697.4",
20.4,", 8704.8",
20.4,", 8698.0",
20.4,", 8698.0",
20.4,", 8701.6",
20.4,", 8693.8",
20.4,", 8701.4",
20.4,", 8697.4",
20.4,", 8695.4",
20.4,", 8700.8",
20.4,", 8693.8",
20.4,", 8697.8",
20.4,", 8698.6",
20.4,", 8691.0",
20.4,", 8696.8",
20.4,", 8692.8",
20.4,", 8689.4",
20.4,", 8697.2",
20.4,", 8695.2",
20.4,", 8702.2",
20.4,", 8709.2",
20.4,", 8707.2",
20.4,", 8720.4",
20.4,", 8715.2",
20.4,", 8705.8",
20.4,", 8706.8",
20.4,", 8698.2",
20.4,", 8694.8",
20.4,", 8689.4",
20.4,", 8698.2",
20.4,", 8691.8",
20.4,", 8683.0",
20.4,", 8665.6",
20.4,", 8664.0",
20.4,", 8662.8",
20.4,", 8664.0",
20.4,", 8661.8",
20.4,", 8649.2",
20.4,", 8641.6",
20.4,", 8652.6",
20.4,", 8655.6",
20.4,", 8667.2",
20.4,", 8671.2",
20.4,", 8686.2",
20.4,", 8698.8",
20.4,", 8702.8",
20.4,", 8715.2",
20.41,", 8754.4",
20.46,", 8768.0",
20.75,", 8758.0",
20.77,", 8763.2",
20.99,", 8756.4",
21.31,", 8763.0",
21.5,", 8763.2",
21.86,", 8757.8",
22.2,", 8784.2",
22.51,", 8794.6",
22.99,", 8815.4",
23.36,", 8840.2",
23.71,", 8845.4",
23.99,", 8857.4",
24.09,", 8867.0",
24.09,", 8876.0",
24.09,", 8886.2",
24.26,", 8903.6",
24.38,", 8925.6",
24.38,", 8941.4",
24.6,", 8926.0",
24.97,", 8931.8",
25.24,", 8938.8",
25.43,", 8950.4",
25.61,", 8973.4",
25.72,", 8988.8",
25.82,", 9001.4",
26.02,", 9011.0",
26.4,", 9018.6",
26.66,", 9021.6",
26.82,", 9021.0",
27.07,", 9018.2",
27.34,", 9011.0",
27.7,", 9011.4",
28.04,", 9009.2",
28.19,", 9006.2",
28.19,", 9007.0",
28.4,", 9013.0",
28.86,", 9019.6",
29.44,", 9025.6",
30.05,", 9041.6",
30.58,", 9066.6",
30.9,", 9100.6",
31.2,", 9139.4",
31.86,", 9208.0",
32.47,", 9254.2",
32.54,", 9300.4",
32.72,", 9354.8",
33.3,", 9391.2",
33.62,", 9458.0",
33.93,", 9523.6",
34.65,", 9591.0",
35.18,", 9666.4",
35.45,", 9732.2",
35.84,", 9802.6",
36.11,", 9877.2",
36.12,", 9948.4",
36.27,", 10013.",
36.69,", 10083.",
37.18,", 10156.",
37.69,", 10227.",
37.83,", 10298.",
37.83,", 10361.",
38.09,", 10425.",
38.76,", 10456.",
38.85,", 10508.",
38.88,", 10562.",
39.31,", 10621.",
40.04,", 10675.",
40.46,", 10728.",
40.67,", 10813.",
41.28,", 10870.",
41.92,", 10926.",
43.06,", 10930.",
43.65,", 10955.",
43.65,", 10901.",
43.65,", 10835.",
43.65,", 10767.",
43.65,", 10707.",
43.65,", 10644.",
43.65,", 10579.",
43.65,", 10496.",
43.65,", 10418.",
43.65,", 10338.",
43.65,", 10260.",
43.65,", 10183.",
43.65,", 10109.",
43.65,", 10070.",
43.65,", 9996.6",
43.65,", 9908.4",
43.65,", 9753.2",
43.65,", 9593.6",
43.65,", 9413.6",
43.65,", 9286.0",
43.65,", 9166.0",
43.65,", 9073.6",
43.65,", 9010.0",
43.65,", 8952.2",
43.65,", 8891.4",
43.65,", 8834.6",
43.65,", 8802.0",
